name,team,age,pre_IP,pre_FIP,prior_FIP,marcel_FIP,proj_FIP,model,mlbam
Clayton Beeter,Washington Nationals,27,25.3,4.283,4.201,4.221,4.072,Ridge regression,690925
Trevor McDonald,San Francisco Giants,25,51.0,4.001,2.535,3.456,4.075,Ridge regression,686790
Luis Castillo,Seattle Mariners,33,76.7,3.934,3.877,4.009,4.076,Ridge regression,622491
Ryan Weathers,New York Yankees,26,86.7,4.172,4.596,4.285,4.079,Ridge regression,677960
Hunter Gaddis,Cleveland Guardians,28,23.7,4.071,3.495,3.816,4.08,Ridge regression,683769
Kevin Kelly,Tampa Bay Rays,28,38.0,3.599,5.656,4.598,4.081,Ridge regression,687330
Emerson Hancock,Seattle Mariners,27,90.7,3.761,5.079,4.179,4.082,Ridge regression,676106
Eury Pérez,Miami Marlins,23,67.3,4.718,3.67,4.256,4.082,Ridge regression,691587
Casey Legumina,Tampa Bay Rays,29,34.3,3.419,4.383,4.014,4.086,Ridge regression,668984
Jaden Hill,Colorado Rockies,26,26.7,4.224,3.442,3.826,4.089,Ridge regression,677955
Walbert Ureña,Los Angeles Angels,22,71.7,3.839,,3.945,4.093,Ridge regression,700712
Alex Lange,Kansas City Royals,30,36.3,3.842,4.135,4.063,4.095,Ridge regression,656638
Brant Hurter,Detroit Tigers,27,25.3,3.731,3.611,3.767,4.096,Ridge regression,676428
Connelly Early,Boston Red Sox,24,87.7,4.719,0.911,3.541,4.104,Ridge regression,813349
Tyler Rogers,Toronto Blue Jays,35,38.7,2.996,2.876,3.241,4.105,Ridge regression,643511
Tyler Holton,Detroit Tigers,30,38.7,3.927,4.635,4.305,4.106,Ridge regression,663947
Sean Burke,Chicago White Sox,26,87.3,3.981,4.922,4.264,4.106,Ridge regression,680732
Sam Bachman,Los Angeles Angels,26,37.7,4.48,3.627,4.048,4.113,Ridge regression,696147
Brent Suter,Los Angeles Angels,36,48.0,3.599,4.568,4.163,4.114,Ridge regression,608718
Yohan Ramírez,Pittsburgh Pirates,31,46.0,4.273,3.795,4.108,4.115,Ridge regression,670990
Jared Jones,Pittsburgh Pirates,24,25.0,4.779,,4.328,4.119,Ridge regression,683003
David Peterson,Chicago Cubs,30,73.7,3.913,3.485,3.845,4.123,Ridge regression,656849
Tyler Davis,Chicago White Sox,27,23.3,4.17,,4.179,4.128,Ridge regression,699823
Walker Buehler,San Diego Padres,31,78.0,3.42,5.659,4.241,4.132,Ridge regression,621111
Kyle Bradish,Baltimore Orioles,29,93.0,4.121,2.447,3.689,4.135,Ridge regression,680694
Freddy Peralta,New York Mets,30,91.3,4.161,3.644,4.05,4.143,Ridge regression,642547
Ryan Rolison,Chicago Cubs,28,31.7,4.015,6.749,5.31,4.143,Ridge regression,669020
Peter Lambert,Houston Astros,29,68.7,4.002,,4.106,4.145,Ridge regression,663567
Paxton Schultz,Washington Nationals,28,30.7,4.371,4.067,4.203,4.148,Ridge regression,687606
Chase Shugart,Philadelphia Phillies,29,28.0,4.992,4.691,4.703,4.15,Ridge regression,663767
Luis Severino,Athletics,32,62.7,4.471,4.106,4.354,4.153,Ridge regression,622663
Jake Woodford,Milwaukee Brewers,29,23.3,3.956,4.263,4.18,4.156,Ridge regression,663765
Trevor Rogers,Baltimore Orioles,28,79.3,3.981,2.816,3.666,4.169,Ridge regression,669432
JT Brubaker,San Francisco Giants,32,39.3,3.709,2.961,3.528,4.169,Ridge regression,664141
Joey Cantillo,Cleveland Guardians,26,86.0,4.332,3.555,4.08,4.172,Ridge regression,676282
Chad Patrick,Milwaukee Brewers,27,62.3,4.19,3.528,3.961,4.172,Ridge regression,694477
Ryan Thompson,Arizona Diamondbacks,34,28.3,3.628,3.74,3.864,4.177,Ridge regression,657044
Foster Griffin,Washington Nationals,30,98.3,4.197,,4.221,4.178,Ridge regression,656492
Jonathan Loáisiga,Arizona Diamondbacks,31,30.7,3.066,5.832,4.608,4.183,Ridge regression,642528
Spencer Strider,Atlanta Braves,27,39.0,5.355,4.531,4.792,4.185,Ridge regression,675911
Cooper Criswell,Seattle Mariners,29,30.7,3.751,5.173,4.515,4.185,Ridge regression,681867
Shane Baz,Baltimore Orioles,27,94.0,3.833,4.367,4.019,4.189,Ridge regression,669358
Ryan Yarbrough,New York Yankees,34,31.3,3.514,5.041,4.418,4.19,Ridge regression,642232
Connor Seabold,Kansas City Royals,30,23.3,3.913,4.2,4.146,4.194,Ridge regression,657756
Matt Svanson,St. Louis Cardinals,27,35.0,4.728,2.721,3.737,4.199,Ridge regression,694335
Janson Junk,Miami Marlins,30,60.0,4.099,3.144,3.807,4.202,Ridge regression,676083
Mason Englert,Tampa Bay Rays,26,25.0,4.499,3.135,3.748,4.206,Ridge regression,669438
Justin Wrobleski,Los Angeles Dodgers,25,86.3,3.62,2.925,3.47,4.209,Ridge regression,680736
AJ Blubaugh,Houston Astros,25,53.7,4.124,4.416,4.221,4.214,Ridge regression,805123
Cody Bolton,Houston Astros,28,20.0,5.099,2.135,3.347,4.216,Ridge regression,675989
Michael Wacha,Kansas City Royals,35,108.7,3.688,3.656,3.813,4.217,Ridge regression,608379
Luinder Avila,Kansas City Royals,24,46.7,4.642,2.135,3.548,4.227,Ridge regression,679883
José Fermin,Los Angeles Angels,24,21.0,4.432,5.989,5.154,4.231,Ridge regression,820862
Taylor Clarke,Arizona Diamondbacks,33,35.3,3.637,3.966,3.945,4.235,Ridge regression,664199
Anthony Banda,Minnesota Twins,32,34.3,4.322,4.52,4.433,4.236,Ridge regression,607455
Tyler Mahle,San Francisco Giants,31,62.3,4.687,3.366,4.199,4.239,Ridge regression,641816
Bryce Elder,Atlanta Braves,27,98.7,3.971,4.549,4.148,4.245,Ridge regression,693821
Gerrit Cole,New York Yankees,35,37.7,4.586,,4.418,4.248,Ridge regression,543037
Jack Leiter,Texas Rangers,26,80.0,4.761,4.15,4.493,4.254,Ridge regression,683004
Trevor Richards,Chicago White Sox,33,28.3,4.97,2.429,3.661,4.254,Ridge regression,670950
Ryan Walker,San Francisco Giants,30,21.7,4.437,3.298,3.825,4.256,Ridge regression,676254
Paul Blackburn,New York Yankees,32,37.7,3.789,4.391,4.17,4.268,Ridge regression,621112
Dennis Santana,Pittsburgh Pirates,30,33.3,4.629,3.206,3.932,4.269,Ridge regression,642701
Brandon Sproat,Milwaukee Brewers,25,69.7,5.066,2.796,4.188,4.269,Ridge regression,687075
Taylor Rogers,Minnesota Twins,35,30.7,4.045,4.378,4.306,4.271,Ridge regression,573124
Cole Ragans,Kansas City Royals,28,35.3,6.184,2.503,4.194,4.271,Ridge regression,666142
Ryne Stanek,St. Louis Cardinals,34,31.7,5.025,4.403,4.645,4.272,Ridge regression,592773
Kumar Rocker,Texas Rangers,26,80.0,3.887,4.876,4.212,4.274,Ridge regression,677958
Ron Marinaccio,San Diego Padres,31,40.3,4.735,2.01,3.535,4.275,Ridge regression,676760
Kyle Leahy,St. Louis Cardinals,29,81.3,4.181,3.044,3.863,4.278,Ridge regression,681517
Framber Valdez,Detroit Tigers,32,95.7,4.165,3.375,4.004,4.28,Ridge regression,664285
J.T. Ginn,Athletics,27,88.7,4.013,4.618,4.204,4.28,Ridge regression,669372
Martín Pérez,Atlanta Braves,35,72.0,3.905,4.242,4.13,4.282,Ridge regression,527048
Andre Pallante,St. Louis Cardinals,27,89.3,3.961,4.684,4.191,4.286,Ridge regression,669467
Phil Maton,Chicago Cubs,33,26.7,5.462,2.597,3.868,4.29,Ridge regression,664208
Peyton Pallette,Cleveland Guardians,25,20.7,4.986,,4.368,4.29,Ridge regression,688883
Steven Cruz,Kansas City Royals,27,25.3,6.178,4.142,4.754,4.31,Ridge regression,674444
Mitch Keller,Pittsburgh Pirates,30,88.3,4.152,4.02,4.148,4.312,Ridge regression,656605
Tanner Bibee,Cleveland Guardians,27,95.3,4.557,4.336,4.454,4.313,Ridge regression,676440
Brock Burke,Cincinnati Reds,29,38.3,4.377,4.157,4.267,4.319,Ridge regression,656271
Justin Bruihl,St. Louis Cardinals,29,37.0,3.964,4.159,4.109,4.333,Ridge regression,677865
Bubba Chandler,Pittsburgh Pirates,23,79.3,4.624,2.656,3.934,4.336,Ridge regression,696149
Noah Schultz,Chicago White Sox,22,38.7,4.754,,4.356,4.338,Ridge regression,702273
Sandy Alcantara,Miami Marlins,30,110.0,3.944,4.28,4.082,4.343,Ridge regression,645261
Kai-Wei Teng,Houston Astros,27,64.0,4.802,3.809,4.376,4.351,Ridge regression,678906
Zebby Matthews,Minnesota Twins,26,49.3,4.944,3.79,4.365,4.353,Ridge regression,805673
Yoendrys Gómez,Minnesota Twins,26,39.0,4.586,5.257,4.787,4.356,Ridge regression,672782
Orlando Ribalta,Washington Nationals,28,23.3,3.956,6.505,5.3,4.361,Ridge regression,687377
Kenley Jansen,Detroit Tigers,38,20.3,5.656,3.982,4.56,4.366,Ridge regression,445276
Craig Kimbrel,Tampa Bay Rays,38,22.0,4.963,4.218,4.52,4.367,Ridge regression,518886
Shota Imanaga,Chicago Cubs,32,92.0,4.86,4.863,4.831,4.373,Ridge regression,684007
Sam Moll,Cincinnati Reds,34,33.7,4.644,5.208,4.878,4.374,Ridge regression,594580
Nick Martinez,Tampa Bay Rays,35,94.7,3.712,4.33,4.014,4.375,Ridge regression,607259
Michael King,San Diego Padres,31,92.0,4.153,4.417,4.269,4.376,Ridge regression,650633
Stephen Kolek,Kansas City Royals,29,52.0,4.541,3.818,4.232,4.377,Ridge regression,663568
Keider Montero,Detroit Tigers,25,87.7,3.84,4.933,4.172,4.381,Ridge regression,672456
Grant Anderson,Milwaukee Brewers,29,33.0,4.675,3.838,4.222,4.387,Ridge regression,681982
George Soriano,St. Louis Cardinals,27,34.7,4.224,6.435,5.197,4.394,Ridge regression,666277
Brandon Young,Baltimore Orioles,27,72.3,3.942,5.355,4.423,4.396,Ridge regression,687064
Gus Varland,Washington Nationals,29,31.7,5.088,,4.515,4.398,Ridge regression,681402
Robbie Ray,San Francisco Giants,34,87.7,4.787,3.93,4.54,4.4,Ridge regression,592662
Jason Adam,San Diego Padres,34,30.3,4.846,3.074,3.959,4.403,Ridge regression,592094
Edward Cabrera,Chicago Cubs,28,72.3,5.062,3.825,4.56,4.404,Ridge regression,665795
Cal Quantrill,Texas Rangers,31,35.3,4.429,5.141,4.736,4.407,Ridge regression,615698
Kyle Finnegan,Detroit Tigers,34,39.3,4.472,3.117,3.916,4.408,Ridge regression,640448
Aaron Nola,Philadelphia Phillies,33,80.7,4.847,4.577,4.741,4.41,Ridge regression,605400
Grayson Rodriguez,Los Angeles Angels,26,25.7,5.125,,4.455,4.417,Ridge regression,680570
Rhett Lowder,Cincinnati Reds,24,58.0,4.668,,4.391,4.421,Ridge regression,695076
Spencer Arrighetti,Houston Astros,26,72.0,4.641,5.541,4.855,4.424,Ridge regression,681293
Wandy Peralta,San Diego Padres,34,40.7,4.255,3.623,4.048,4.428,Ridge regression,593974
Slade Cecconi,Cleveland Guardians,27,90.3,4.339,4.643,4.405,4.429,Ridge regression,677944
Mitch Farris,Los Angeles Angels,25,31.3,5.237,4.779,4.798,4.429,Ridge regression,815083
Tyler Phillips,Miami Marlins,28,65.7,4.378,4.139,4.28,4.43,Ridge regression,663969
Eduardo Rodriguez,Arizona Diamondbacks,33,95.0,4.057,4.573,4.271,4.433,Ridge regression,593958
Tobias Myers,New York Mets,27,42.0,4.909,3.924,4.375,4.434,Ridge regression,668964
Jordan Hicks,Chicago White Sox,29,20.0,4.649,4.353,4.409,4.434,Ridge regression,663855
Lance McCullers Jr.,Houston Astros,32,39.3,5.057,5.774,5.252,4.442,Ridge regression,621121
Seth Lugo,Kansas City Royals,36,90.3,4.04,5.089,4.44,4.455,Ridge regression,607625
Michael McGreevy,St. Louis Cardinals,25,89.3,4.274,4.274,4.243,4.459,Ridge regression,700241
Keegan Akin,Baltimore Orioles,31,25.3,4.362,4.935,4.646,4.467,Ridge regression,669211
Ryan Watson,Boston Red Sox,28,44.7,4.912,,4.504,4.47,Ridge regression,670245
John Schreiber,Kansas City Royals,32,33.0,5.069,4.166,4.54,4.475,Ridge regression,670167
Matthew Liberatore,St. Louis Cardinals,26,77.7,5.262,4.025,4.734,4.48,Ridge regression,669461
Griffin Canning,San Diego Padres,30,42.7,5.419,4.039,4.668,4.486,Ridge regression,656288
Lucas Erceg,Kansas City Royals,31,31.7,4.836,3.494,4.133,4.489,Ridge regression,668674
Nick Lodolo,Cincinnati Reds,28,46.7,5.37,3.812,4.566,4.493,Ridge regression,666157
Brandon Pfaadt,Arizona Diamondbacks,27,38.0,5.441,4.216,4.685,4.498,Ridge regression,694297
Mitchell Parker,Washington Nationals,26,39.7,5.469,4.987,5.024,4.498,Ridge regression,680730
Patrick Corbin,Toronto Blue Jays,36,69.0,4.592,4.249,4.513,4.508,Ridge regression,571578
Robert Gasser,Milwaukee Brewers,27,30.0,5.132,6.841,5.74,4.523,Ridge regression,688107
Bryan Abreu,Houston Astros,29,27.0,6.58,2.389,4.081,4.527,Ridge regression,650556
Troy Melton,Detroit Tigers,25,37.7,5.064,4.602,4.683,4.528,Ridge regression,675512
Jesse Scholtens,Tampa Bay Rays,32,37.7,5.382,2.895,4.142,4.538,Ridge regression,669947
Jalen Beeks,Texas Rangers,32,26.0,5.407,4.007,4.517,4.538,Ridge regression,656222
Javier Assad,Chicago Cubs,28,49.0,4.732,4.243,4.463,4.542,Ridge regression,665871
Kyle Freeland,Colorado Rockies,33,72.0,5.21,4.18,4.802,4.542,Ridge regression,607536
Chris Paddack,Cincinnati Reds,30,53.0,4.778,5.027,4.806,4.544,Ridge regression,663978
Cionel Pérez,New York Mets,30,31.7,4.71,5.766,5.12,4.546,Ridge regression,672335
JR Ritchie,Atlanta Braves,23,40.7,5.583,,4.708,4.548,Ridge regression,702275
Roki Sasaki,Los Angeles Dodgers,24,72.0,5.085,5.805,5.161,4.55,Ridge regression,808963
Andrew Abbott,Cincinnati Reds,27,90.0,5.043,3.658,4.552,4.552,Ridge regression,671096
Brayan Bello,Boston Red Sox,27,61.0,5.017,4.191,4.606,4.552,Ridge regression,678394
Hoby Milner,Chicago Cubs,35,35.7,4.557,3.391,4.055,4.559,Ridge regression,571948
Tim Hill,New York Yankees,36,30.0,4.399,4.299,4.399,4.563,Ridge regression,657612
Randy Vásquez,San Diego Padres,27,81.0,4.778,4.848,4.723,4.573,Ridge regression,681190
Michael Lorenzen,Colorado Rockies,34,81.7,4.691,4.589,4.666,4.576,Ridge regression,547179
Grant Holmes,Atlanta Braves,30,77.3,5.181,4.396,4.84,4.582,Ridge regression,656550
Colin Rea,Chicago Cubs,36,84.3,4.735,4.114,4.575,4.583,Ridge regression,607067
Chris Bassitt,Baltimore Orioles,37,56.3,4.768,4.01,4.504,4.602,Ridge regression,605135
Reynaldo López,Atlanta Braves,32,46.7,4.47,6.535,5.284,4.602,Ridge regression,625643
Bailey Ober,Minnesota Twins,30,66.7,4.959,4.898,4.858,4.604,Ridge regression,641927
Victor Vodnik,Colorado Rockies,26,23.0,5.099,3.767,4.216,4.611,Ridge regression,680767
Ryne Nelson,Arizona Diamondbacks,28,83.3,5.391,3.732,4.763,4.613,Ridge regression,669194
Ryan Borucki,San Francisco Giants,32,23.7,4.874,4.249,4.462,4.617,Ridge regression,621366
Albert Suárez,Baltimore Orioles,36,36.7,5.335,2.192,3.845,4.628,Ridge regression,544150
Trey Gibson,Baltimore Orioles,24,30.3,5.572,,4.618,4.629,Ridge regression,694346
Steven Matz,Tampa Bay Rays,35,53.0,5.382,3.461,4.557,4.631,Ridge regression,571927
Anthony Kay,Chicago White Sox,31,80.0,4.987,,4.682,4.646,Ridge regression,641743
Andrew Painter,Philadelphia Phillies,23,65.0,5.514,,4.835,4.65,Ridge regression,691725
Tim Herrin,Cleveland Guardians,29,28.7,5.192,5.08,4.954,4.666,Ridge regression,682120
Ryan Feltner,Colorado Rockies,29,53.0,4.929,4.388,4.629,4.668,Ridge regression,663372
PJ Poulin,Washington Nationals,29,34.3,5.08,3.824,4.369,4.684,Ridge regression,676571
Adrian Houser,San Francisco Giants,33,68.3,5.221,3.807,4.672,4.687,Ridge regression,605288
Brady Singer,Cincinnati Reds,29,73.0,5.743,3.978,4.994,4.687,Ridge regression,663903
Jeffrey Springs,Athletics,33,88.0,5.633,4.65,5.238,4.687,Ridge regression,605488
Matt Gage,San Francisco Giants,33,26.0,5.83,2.748,4.04,4.688,Ridge regression,657424
Connor Phillips,Cincinnati Reds,25,27.7,5.846,3.815,4.512,4.707,Ridge regression,683175
Tony Santillan,Cincinnati Reds,29,31.0,6.422,3.719,4.751,4.714,Ridge regression,663574
Mike Burrows,Houston Astros,26,85.3,5.572,4.0,4.935,4.718,Ridge regression,681347
Justin Lawrence,Washington Nationals,31,29.0,7.03,2.229,4.228,4.728,Ridge regression,664875
Aaron Civale,Athletics,31,62.7,5.333,4.625,4.962,4.732,Ridge regression,650644
Joel Kuhnel,Milwaukee Brewers,31,34.3,5.487,,4.697,4.743,Ridge regression,669270
Mike Paredes,Minnesota Twins,25,25.3,5.428,,4.532,4.758,Ridge regression,702474
Matt Waldron,San Diego Padres,29,23.3,5.156,8.492,6.648,4.766,Ridge regression,663362
Jack Kochanowicz,Los Angeles Angels,25,64.0,4.974,6.054,5.205,4.778,Ridge regression,686799
Gordon Graceffo,St. Louis Cardinals,26,38.7,5.194,2.926,4.034,4.781,Ridge regression,700669
Zac Gallen,Arizona Diamondbacks,30,86.3,5.23,4.505,4.923,4.798,Ridge regression,668678
Kodai Senga,New York Mets,33,32.7,7.048,4.123,5.226,4.82,Ridge regression,673540
Jameson Taillon,Chicago Cubs,34,67.7,6.306,4.654,5.533,4.857,Ridge regression,592791
Blas Castaño,Colorado Rockies,27,20.7,5.131,9.802,7.35,4.86,Ridge regression,680604
Zach Agnos,Colorado Rockies,25,49.0,5.364,5.624,5.249,4.881,Ridge regression,688642
Ryan Weiss,Houston Astros,29,26.0,7.099,,5.084,4.887,Ridge regression,680802
Miles Mikolas,Washington Nationals,37,77.3,5.31,5.035,5.178,4.902,Ridge regression,571945
Richard Lovelady,Washington Nationals,30,30.3,5.407,6.992,5.93,4.925,Ridge regression,663992
Erick Fedde,Chicago White Sox,33,74.7,5.523,5.199,5.303,4.927,Ridge regression,607200
Matt Strahm,Kansas City Royals,34,26.7,6.849,2.991,4.496,4.939,Ridge regression,621381
Brandon Williamson,Cincinnati Reds,28,28.0,6.063,,4.79,4.944,Ridge regression,682227
Jose Quintana,Colorado Rockies,37,41.0,5.343,4.813,5.016,4.947,Ridge regression,500779
Scott Barlow,Athletics,33,33.3,6.429,4.701,5.278,4.948,Ridge regression,605130
Tomoyuki Sugano,Colorado Rockies,36,84.3,5.316,5.358,5.277,4.964,Ridge regression,608372
Eric Lauer,Los Angeles Dodgers,31,64.7,6.176,3.852,5.145,4.964,Ridge regression,641778
Ethan Roberts,Chicago Cubs,28,25.7,5.281,7.135,5.969,4.972,Ridge regression,681799
Drew Pomeranz,Los Angeles Angels,37,23.3,6.313,3.356,4.462,4.985,Ridge regression,519141
Lucas Giolito,San Diego Padres,31,29.7,6.065,4.169,4.839,5.006,Ridge regression,608337
Sam Aldegheri,Los Angeles Angels,24,24.7,5.491,7.306,6.083,5.014,Ridge regression,691951
Simeon Woods Richardson,Toronto Blue Jays,25,57.7,5.822,4.518,5.086,5.033,Ridge regression,680573
Jacob Lopez,Athletics,28,50.7,6.375,4.257,5.225,5.042,Ridge regression,682052
Merrill Kelly,Arizona Diamondbacks,37,81.7,6.099,3.76,5.262,5.076,Ridge regression,518876
Kody Funderburk,Minnesota Twins,29,20.3,6.099,3.355,4.254,5.078,Ridge regression,681892
Trent Thornton,Chicago Cubs,32,23.0,5.925,4.741,4.998,5.107,Ridge regression,663423
Germán Márquez,San Diego Padres,31,29.7,6.638,5.47,5.638,5.109,Ridge regression,608566
Zack Littell,Washington Nationals,30,80.0,6.462,4.876,5.723,5.122,Ridge regression,641793
Taijuan Walker,Philadelphia Phillies,33,22.7,7.775,5.068,5.678,5.381,Ridge regression,592836
Max Scherzer,Toronto Blue Jays,41,22.0,8.781,4.994,5.972,5.814,Ridge regression,453286
